Course ID,Discipline,Key,Course Name,Institute,Duration,Start date,End date,Exam date,Enrollment End date,Exam Registration End date,Click here to Join the course, , , , 
noc26-cs135,Computer Science and Engineering,CS,Social Networks,IIT Madras,12 Weeks,"Jul 20, 2026","Oct 9, 2026","Oct 24, 2026","Jul 27, 2026","Aug 14, 2026",https://onlinecourses.nptel.ac.in/e-learning/preview/noc26_cs135,,,,
noc26-cs136,Computer Science and Engineering,CS,The Joy of Computing using Python,IIT Madras,12 Weeks,"Jul 20, 2026","Oct 9, 2026","Oct 25, 2026","Jul 27, 2026","Aug 14, 2026",https://onlinecourses.nptel.ac.in/e-learning/preview/noc26_cs136,,,,
noc26-cs137,Computer Science and Engineering,CS,Discrete Mathematics,IIT Madras,12 Weeks,"Jul 20, 2026","Oct 9, 2026","Oct 16, 2026","Jul 27, 2026","Aug 14, 2026",https://onlinecourses.nptel.ac.in/e-learning/preview/noc26_cs137,,,,
noc26-cs146,Computer Science and Engineering,CS,Data Structures and Algorithms Design,IIT Kanpur,12 Weeks,"Jul 20, 2026","Oct 9, 2026","Oct 17, 2026","Jul 27, 2026","Aug 14, 2026",https://onlinecourses.nptel.ac.in/e-learning/preview/noc26_cs146,,,,
noc26-cs138,Computer Science and Engineering,CS,Deep Learning - IIT Ropar,IIT Madras,12 Weeks,"Jul 20, 2026","Oct 9, 2026","Oct 17, 2026","Jul 27, 2026","Aug 14, 2026",https://onlinecourses.nptel.ac.in/e-learning/preview/noc26_cs138,,,,
noc26-cs148,Computer Science and Engineering,CS,Arithmetic Circuit Complexity,IIT Kanpur,12 Weeks,"Jul 20, 2026","Oct 9, 2026","Oct 18, 2026","Jul 27, 2026","Aug 14, 2026",https://onlinecourses.nptel.ac.in/e-learning/preview/noc26_cs148,,,,
noc26-cs149,Computer Science and Engineering,CS,Computational Number Theory and Algebra,IIT Kanpur,12 Weeks,"Jul 20, 2026","Oct 9, 2026","Oct 23, 2026","Jul 27, 2026","Aug 14, 2026",https://onlinecourses.nptel.ac.in/e-learning/preview/noc26_cs149,,,,
noc26-cs139,Computer Science and Engineering,CS,Human Computer Interaction (In Hindi),IIT Madras,12 Weeks,"Jul 20, 2026","Oct 9, 2026","Oct 18, 2026","Jul 27, 2026","Aug 14, 2026",https://onlinecourses.nptel.ac.in/e-learning/preview/noc26_cs139,,,,
noc26-cs141,Computer Science and Engineering,CS,Privacy and Security in Online Social Media,IIT Madras,12 Weeks,"Jul 20, 2026","Oct 9, 2026","Oct 24, 2026","Jul 27, 2026","Aug 14, 2026",https://onlinecourses.nptel.ac.in/e-learning/preview/noc26_cs141,,,,
noc26-cs142,Computer Science and Engineering,CS,Computational Complexity,IIT Madras,12 Weeks,"Jul 20, 2026","Oct 9, 2026","Oct 25, 2026","Jul 27, 2026","Aug 14, 2026",https://onlinecourses.nptel.ac.in/e-learning/preview/noc26_cs142,,,,
noc26-cs144,Computer Science and Engineering,CS,Cyber Security and Privacy,IIT Madras,12 Weeks,"Jul 20, 2026","Oct 9, 2026","Oct 25, 2026","Jul 27, 2026","Aug 14, 2026",https://onlinecourses.nptel.ac.in/e-learning/preview/noc26_cs144,,,,
noc26-cs145,Computer Science and Engineering,CS,Responsible & Safe AI Systems,IIT Madras,12 Weeks,"Jul 20, 2026","Oct 9, 2026","Oct 18, 2026","Jul 27, 2026","Aug 14, 2026",https://onlinecourses.nptel.ac.in/e-learning/preview/noc26_cs145,,,,
noc26-cs147,Computer Science and Engineering,CS,Second Level Algorithms,IIT Kharagpur,12 Weeks,"Jul 20, 2026","Oct 9, 2026","Oct 17, 2026","Jul 27, 2026","Aug 14, 2026",https://onlinecourses.nptel.ac.in/e-learning/preview/noc26_cs147,,,,
noc26-cs150,Computer Science and Engineering,CS,Cloud Computing,IIT Kharagpur,12 Weeks,"Jul 20, 2026","Oct 9, 2026","Oct 18, 2026","Jul 27, 2026","Aug 14, 2026",https://onlinecourses.nptel.ac.in/e-learning/preview/noc26_cs150,,,,
noc26-cs151,Computer Science and Engineering,CS,Software Engineering,IIT Kharagpur,12 Weeks,"Jul 20, 2026","Oct 9, 2026","Oct 23, 2026","Jul 27, 2026","Aug 14, 2026",https://onlinecourses.nptel.ac.in/e-learning/preview/noc26_cs151,,,,
noc26-cs152,Computer Science and Engineering,CS,Software Project Management,IIT Kharagpur,12 Weeks,"Jul 20, 2026","Oct 9, 2026","Oct 24, 2026","Jul 27, 2026","Aug 14, 2026",https://onlinecourses.nptel.ac.in/e-learning/preview/noc26_cs152,,,,
noc26-cs153,Computer Science and Engineering,CS,Programming In Java,IIT Kharagpur,12 Weeks,"Jul 20, 2026","Oct 9, 2026","Oct 25, 2026","Jul 27, 2026","Aug 14, 2026",https://onlinecourses.nptel.ac.in/e-learning/preview/noc26_cs153,,,,
noc26-cs154,Computer Science and Engineering,CS,Statistical Learning for Reliability Analysis,IIT Kharagpur,12 Weeks,"Jul 20, 2026","Oct 9, 2026","Oct 16, 2026","Jul 27, 2026","Aug 14, 2026",https://onlinecourses.nptel.ac.in/e-learning/preview/noc26_cs154,,,,
noc26-cs155,Computer Science and Engineering,CS,Problem Solving through Programming in C,IIT Kharagpur,12 Weeks,"Jul 20, 2026","Oct 9, 2026","Oct 24, 2026","Jul 27, 2026","Aug 14, 2026",https://onlinecourses.nptel.ac.in/e-learning/preview/noc26_cs155,,,,
noc26-cs156,Computer Science and Engineering,CS,Operating System Fundamentals,IIT Kharagpur,12 Weeks,"Jul 20, 2026","Oct 9, 2026","Oct 18, 2026","Jul 27, 2026","Aug 14, 2026",https://onlinecourses.nptel.ac.in/e-learning/preview/noc26_cs156,,,,
noc26-cs157,Computer Science and Engineering,CS,Ethical Hacking,IIT Kharagpur,12 Weeks,"Jul 20, 2026","Oct 9, 2026","Oct 23, 2026","Jul 27, 2026","Aug 14, 2026",https://onlinecourses.nptel.ac.in/e-learning/preview/noc26_cs157,,,,
noc26-cs158,Computer Science and Engineering,CS,Computer Vision,IIT Kharagpur,12 Weeks,"Jul 20, 2026","Oct 9, 2026","Oct 24, 2026","Jul 27, 2026","Aug 14, 2026",https://onlinecourses.nptel.ac.in/e-learning/preview/noc26_cs158,,,,
noc26-cs159,Computer Science and Engineering,CS,Programming in Modern C++,IIT Kharagpur,12 Weeks,"Jul 20, 2026","Oct 9, 2026","Oct 24, 2026","Jul 27, 2026","Aug 14, 2026",https://onlinecourses.nptel.ac.in/e-learning/preview/noc26_cs159,,,,
noc26-cs160,Computer Science and Engineering,CS,Introduction to Industry 4.0 and Industrial Internet of Things,IIT Kharagpur,12 Weeks,"Jul 20, 2026","Oct 9, 2026","Oct 16, 2026","Jul 27, 2026","Aug 14, 2026",https://onlinecourses.nptel.ac.in/e-learning/preview/noc26_cs160,,,,
noc26-cs161,Computer Science and Engineering,CS,Introduction to Internet of Things,IIT Kharagpur,12 Weeks,"Jul 20, 2026","Oct 9, 2026","Oct 17, 2026","Jul 27, 2026","Aug 14, 2026",https://onlinecourses.nptel.ac.in/e-learning/preview/noc26_cs161,,,,
noc26-cs168,Computer Science and Engineering,CS,Computer Architecture,IIT Delhi,12 Weeks,"Jul 20, 2026","Oct 9, 2026","Oct 18, 2026","Jul 27, 2026","Aug 14, 2026",https://onlinecourses.nptel.ac.in/e-learning/preview/noc26_cs168,,,,
noc26-cs169,Computer Science and Engineering,CS,Advanced Distributed Systems,IIT Delhi,12 Weeks,"Jul 20, 2026","Oct 9, 2026","Oct 23, 2026","Jul 27, 2026","Aug 14, 2026",https://onlinecourses.nptel.ac.in/e-learning/preview/noc26_cs169,,,,
noc26-cs170,Computer Science and Engineering,CS,Social Network Analysis,IIT Delhi,12 Weeks,"Jul 20, 2026","Oct 9, 2026","Oct 16, 2026","Jul 27, 2026","Aug 14, 2026",https://onlinecourses.nptel.ac.in/e-learning/preview/noc26_cs170,,,,
noc26-cs171,Computer Science and Engineering,CS,Introduction to Large Language Models (LLMs),IIT Delhi,12 Weeks,"Jul 20, 2026","Oct 9, 2026","Oct 23, 2026","Jul 27, 2026","Aug 14, 2026",https://onlinecourses.nptel.ac.in/e-learning/preview/noc26_cs171,,,,
noc26-cs162,Computer Science and Engineering,CS,Data Structure and Algorithms using Java,IIT Kharagpur,12 Weeks,"Jul 20, 2026","Oct 9, 2026","Oct 23, 2026","Jul 27, 2026","Aug 14, 2026",https://onlinecourses.nptel.ac.in/e-learning/preview/noc26_cs162,,,,
noc26-cs163,Computer Science and Engineering,CS,Introduction to Algorithms and Analysis,IIT Kharagpur,12 Weeks,"Jul 20, 2026","Oct 9, 2026","Oct 23, 2026","Jul 27, 2026","Aug 14, 2026",https://onlinecourses.nptel.ac.in/e-learning/preview/noc26_cs163,,,,
noc26-cs164,Computer Science and Engineering,CS,Algorithmic Game Theory,IIT Kharagpur,12 Weeks,"Jul 20, 2026","Oct 9, 2026","Oct 24, 2026","Jul 27, 2026","Aug 14, 2026",https://onlinecourses.nptel.ac.in/e-learning/preview/noc26_cs164,,,,
noc26-cs175,Computer Science and Engineering,CS,C-Based VLSI Design,IIT Guwahati,12 Weeks,"Jul 20, 2026","Oct 9, 2026","Oct 23, 2026","Jul 27, 2026","Aug 14, 2026",https://onlinecourses.nptel.ac.in/e-learning/preview/noc26_cs175,,,,
noc26-cs176,Computer Science and Engineering,CS,Multi-Core Computer Architecture,IIT Guwahati,12 Weeks,"Jul 20, 2026","Oct 9, 2026","Oct 18, 2026","Jul 27, 2026","Aug 14, 2026",https://onlinecourses.nptel.ac.in/e-learning/preview/noc26_cs176,,,,
noc26-cs177,Computer Science and Engineering,CS,Design & Implementation Of Human-Computer Interfaces,IIT Guwahati,12 Weeks,"Jul 20, 2026","Oct 9, 2026","Oct 23, 2026","Jul 27, 2026","Aug 14, 2026",https://onlinecourses.nptel.ac.in/e-learning/preview/noc26_cs177,,,,
noc26-cs178,Computer Science and Engineering,CS,Computer Graphics,IIT Guwahati,8 Weeks (Rerun) + 4 Weeks (New),"Jul 20, 2026","Oct 9, 2026","Oct 16, 2026","Jul 27, 2026","Aug 14, 2026",https://onlinecourses.nptel.ac.in/e-learning/preview/noc26_cs178,,,,
noc26-cs179,Computer Science and Engineering,CS,Applied Accelerated Artificial Intelligence,IIT Guwahati,12 Weeks,"Jul 20, 2026","Oct 9, 2026","Oct 18, 2026","Jul 27, 2026","Aug 14, 2026",https://onlinecourses.nptel.ac.in/e-learning/preview/noc26_cs179,,,,
noc26-cs165,Computer Science and Engineering,CS,Approximation Algorithm,IIT Kharagpur,12 Weeks,"Jul 20, 2026","Oct 9, 2026","Oct 25, 2026","Jul 27, 2026","Aug 14, 2026",https://onlinecourses.nptel.ac.in/e-learning/preview/noc26_cs165,,,,
noc26-cs166,Computer Science and Engineering,CS,Computer Architecture and Organization,IIT Kharagpur,12 Weeks,"Jul 20, 2026","Oct 9, 2026","Oct 16, 2026","Jul 27, 2026","Aug 14, 2026",https://onlinecourses.nptel.ac.in/e-learning/preview/noc26_cs166,,,,
noc26-cs182,Computer Science and Engineering,CS,"Artificial Intelligence: Foundations and Algorithms

Old course name: An Introduction to Artificial Intelligence",IIT Delhi,12 Weeks,"Jul 20, 2026","Oct 9, 2026","Oct 25, 2026","Jul 27, 2026","Aug 14, 2026",https://onlinecourses.nptel.ac.in/e-learning/preview/noc26_cs182,,,,
noc26-cs167,Computer Science and Engineering,CS,Real-Time Systems,IIT Kharagpur,12 Weeks,"Jul 20, 2026","Oct 9, 2026","Oct 17, 2026","Jul 27, 2026","Aug 14, 2026",https://onlinecourses.nptel.ac.in/e-learning/preview/noc26_cs167,,,,
noc26-cs172,Computer Science and Engineering,CS,Parameterized Algorithms,IIT Madras,12 Weeks,"Jul 20, 2026","Oct 9, 2026","Oct 17, 2026","Jul 27, 2026","Aug 14, 2026",https://onlinecourses.nptel.ac.in/e-learning/preview/noc26_cs172,,,,
noc26-cs173,Computer Science and Engineering,CS,Getting Started With Competitive Programming,IIT Madras,12 Weeks,"Jul 20, 2026","Oct 9, 2026","Oct 17, 2026","Jul 27, 2026","Aug 14, 2026",https://onlinecourses.nptel.ac.in/e-learning/preview/noc26_cs173,,,,
noc26-cs187,Computer Science and Engineering,CS,Linear programming and its applications to computer science,IIT Kanpur,8 Weeks,"Aug 17, 2026","Oct 9, 2026","Oct 25, 2026","Aug 17, 2026","Aug 28, 2026",https://onlinecourses.nptel.ac.in/e-learning/preview/noc26_cs187,,,,
noc26-cs174,Computer Science and Engineering,CS,Deep Learning for Computer Vision,IIT Madras,12 Weeks,"Jul 20, 2026","Oct 9, 2026","Oct 18, 2026","Jul 27, 2026","Aug 14, 2026",https://onlinecourses.nptel.ac.in/e-learning/preview/noc26_cs174,,,,
noc26-cs189,Computer Science and Engineering,CS,Big Data Computing,IIT Kanpur,8 Weeks,"Aug 17, 2026","Oct 9, 2026","Oct 17, 2026","Aug 17, 2026","Aug 28, 2026",https://onlinecourses.nptel.ac.in/e-learning/preview/noc26_cs189,,,,
noc26-cs180,Computer Science and Engineering,CS,Natural Language Processing,IIT Kharagpur,12 Weeks,"Jul 20, 2026","Oct 9, 2026","Oct 17, 2026","Jul 27, 2026","Aug 14, 2026",https://onlinecourses.nptel.ac.in/e-learning/preview/noc26_cs180,,,,
noc26-cs92,Computer Science and Engineering,CS,Formal Methods for System Verification,IIT Guwahati,12 Weeks,"Jul 20, 2026","Oct 9, 2026","Oct 25, 2026","Jul 27, 2026","Aug 14, 2026",https://onlinecourses.nptel.ac.in/e-learning/preview/noc26_cs92,,,,
noc26-cs181,Computer Science and Engineering,CS,Deep Learning for Natural Language Processing,IIT Kharagpur,12 Weeks,"Jul 20, 2026","Oct 9, 2026","Oct 18, 2026","Jul 27, 2026","Aug 14, 2026",https://onlinecourses.nptel.ac.in/e-learning/preview/noc26_cs181,,,,
noc26-cs184,Computer Science and Engineering,CS,Introduction to Computer and Network Performance Analysis using Queuing Systems,IIT Bombay,4 Weeks,"Aug 17, 2026","Sep 11, 2026","Oct 17, 2026","Aug 17, 2026","Aug 28, 2026",https://onlinecourses.nptel.ac.in/e-learning/preview/noc26_cs184,,,,
noc26-cs185,Computer Science and Engineering,CS,Software Conceptual Design,IIT Bombay,4 Weeks,"Aug 17, 2026","Sep 11, 2026","Oct 18, 2026","Aug 17, 2026","Aug 28, 2026",https://onlinecourses.nptel.ac.in/e-learning/preview/noc26_cs185,,,,
noc26-cs186,Computer Science and Engineering,CS,Mobile Virtual Reality and Artificial Intelligence,IIT Madras,4 Weeks,"Aug 17, 2026","Sep 11, 2026","Oct 23, 2026","Aug 17, 2026","Aug 28, 2026",https://onlinecourses.nptel.ac.in/e-learning/preview/noc26_cs186,,,,
noc26-cs188,Computer Science and Engineering,CS,Programming with Generative AI,IISc Bangalore,8 Weeks,"Aug 17, 2026","Oct 9, 2026","Oct 16, 2026","Aug 17, 2026","Aug 28, 2026",https://onlinecourses.nptel.ac.in/e-learning/preview/noc26_cs188,,,,
noc26-cs90,Computer Science and Engineering,CS,Functional Programming with OCaml,IIT Madras,12 Weeks,"Jul 20, 2026","Oct 9, 2026","Oct 25, 2026","Jul 27, 2026","Aug 14, 2026",https://onlinecourses.nptel.ac.in/e-learning/preview/noc26_cs90,,,,
noc26-cs96,Computer Science and Engineering,CS,Computer System Optimizations for ML,IISc Bangalore,12 Weeks,"Jul 20, 2026","Oct 9, 2026","Oct 23, 2026","Jul 27, 2026","Aug 14, 2026",https://onlinecourses.nptel.ac.in/e-learning/preview/noc26_cs96,,,,
noc26-cs97,Computer Science and Engineering,CS,Mathematical Foundations of Generative AI,IISc Bangalore,12 Weeks,"Jul 20, 2026","Oct 9, 2026","Oct 24, 2026","Jul 27, 2026","Aug 14, 2026",https://onlinecourses.nptel.ac.in/e-learning/preview/noc26_cs97,,,,
noc26-cs99,Computer Science and Engineering,CS,Computer Networks,IIT Madras,12 Weeks,"Jul 20, 2026","Oct 9, 2026","Oct 25, 2026","Jul 27, 2026","Aug 14, 2026",https://onlinecourses.nptel.ac.in/e-learning/preview/noc26_cs99,,,,
noc26-cs100,Computer Science and Engineering,CS,AI for Earth Observation,IIT Kharagpur,12 Weeks,"Jul 20, 2026","Oct 9, 2026","Oct 16, 2026","Jul 27, 2026","Aug 14, 2026",https://onlinecourses.nptel.ac.in/e-learning/preview/noc26_cs100,,,,
